player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate,batting_points,bowling_points,total_points
SS Agarwal,0,0,0,0,1,24,42,,10.5,0,25,25
NB Singh,0,0,0,0,1,25,18,,4.319999999999999,0,25,25
AD Nath,90,99,7,2,0,0,0,90.9090909090909,,105,0,105
KV Sharma,351,306,20,17,82,1520,2130,114.70588235294116,8.407894736842104,415,2054,2469
DM Bravo,6,5,1,0,0,0,0,120.0,,7,0,7
Ankit Soni,7,9,0,1,4,112,145,77.77777777777779,7.767857142857142,9,102,111
AR Bawne,12,12,1,0,0,0,0,100.0,,13,0,13
SP Jackson,61,57,5,1,0,0,0,107.01754385964912,,74,0,74
Anureet Singh,36,47,2,1,21,430,636,76.59574468085107,8.874418604651162,40,529,569
MJ Guptill,271,197,24,15,0,0,0,137.56345177664974,,337,0,337
IK Pathan,1150,985,88,38,99,2113,2711,116.751269035533,7.698059630856601,1324,2481,3805
PJ Sangwan,26,47,1,0,44,905,1267,55.319148936170215,8.4,27,1104,1131
MN Samuels,161,174,9,7,10,219,285,92.52873563218392,7.808219178082192,192,256,448
LMP Simmons,1079,878,109,44,1,18,34,122.89293849658314,11.333333333333334,1288,25,1313
R Tewatia,1013,788,84,47,36,866,1117,128.55329949238578,7.739030023094688,1203,906,2109
MJ Henry,0,0,0,0,3,105,183,,10.457142857142856,0,69,69
SS Tiwary,1494,1291,111,50,0,0,0,115.72424477149497,,1715,0,1715
R Vinay Kumar,310,289,21,9,127,2186,3041,107.26643598615917,8.346752058554438,359,3179,3538
Avesh Khan,41,25,3,3,81,1390,2010,164.0,8.676258992805757,56,2029,2085
HV Patel,249,214,16,15,151,2284,3215,116.35514018691588,8.44570928196147,305,3779,4084
CJ Jordan,81,81,3,3,36,717,1111,100.0,9.297071129707112,96,902,998
IR Jaggi,76,100,6,0,0,0,0,76.0,,86,0,86
E Lewis,654,499,62,36,0,0,0,131.062124248497,,800,0,800
MA Wood,12,10,1,1,11,127,192,120.0,9.070866141732283,15,277,292
DJ Bravo,1560,1247,120,66,207,3296,4436,125.10024057738572,8.075242718446601,1824,5179,7003
M Markande,48,44,5,1,37,737,1081,109.09090909090908,8.800542740841248,57,929,986
C Munro,177,144,19,8,0,12,15,122.91666666666669,7.5,224,0,224
R Ashwin,800,698,61,28,198,4679,5435,114.61318051575932,6.969437914084206,927,4958,5885
Mujeeb Ur Rahman,12,15,2,0,20,452,598,80.0,7.938053097345133,14,506,520
KL Rahul,4689,3578,400,187,0,0,0,131.05086640581328,,5475,0,5475
Q de Kock,3160,2410,316,123,0,0,0,131.12033195020746,,3734,0,3734
AD Russell,2488,1515,171,209,125,1771,2691,164.22442244224422,9.116883116883116,3091,3127,6218
SN Khan,585,456,63,14,0,2,6,128.28947368421052,18.0,688,0,688
K Khejroliya,0,0,0,0,5,129,221,,10.27906976744186,0,127,127
RK Singh,893,654,67,46,0,0,0,136.54434250764527,,1064,0,1064
DJM Short,115,102,11,5,1,18,23,112.74509803921568,7.666666666666667,146,25,171
K Gowtham,247,159,15,17,22,599,825,155.34591194968556,8.263772954924875,310,554,864
S Gopal,180,173,19,2,53,1000,1358,104.04624277456648,8.148,213,1329,1542
B Laughlin,5,13,0,0,10,179,284,38.46153846153847,9.5195530726257,5,252,257
TK Curran,127,108,10,3,13,252,432,117.59259259259258,10.285714285714286,153,327,480
A Dananjaya,4,5,0,0,0,25,47,80.0,11.28,4,0,4
Shubman Gill,3216,2432,310,95,0,0,0,132.23684210526315,,3728,0,3728
Shivam Mavi,51,58,4,2,33,687,958,87.93103448275862,8.366812227074236,63,829,892
M Vijay,2619,2208,247,91,0,37,49,118.61413043478262,7.945945945945946,3058,-2,3056
H Klaasen,993,613,56,64,0,0,0,161.99021207177816,,1191,0,1191
RK Bhui,10,27,0,0,0,0,0,37.03703703703704,,6,0,6
JC Archer,199,132,11,14,49,987,1210,150.75757575757575,7.355623100303951,252,1231,1483
LE Plunkett,1,3,0,0,4,154,228,33.33333333333333,8.883116883116882,1,100,101
PP Shaw,1892,1321,238,61,0,0,0,143.22482967448903,,2266,0,2266
AD Hales,148,119,13,6,0,0,0,124.36974789915966,,185,0,185
IS Sodhi,7,18,0,0,9,182,204,38.88888888888889,6.725274725274725,7,233,240
MK Lomror,527,389,33,30,2,94,127,135.47557840616966,8.106382978723405,632,46,678
M Ashwin,35,50,2,1,35,898,1182,70.0,7.897550111358575,39,881,920
L Ngidi,0,0,0,0,28,342,460,,8.070175438596491,0,704,704
KM Asif,0,2,0,0,7,143,232,0.0,9.734265734265737,-3,177,174
JP Duminy,2029,1680,126,79,23,701,847,120.77380952380952,7.249643366619116,2325,581,2906
DJ Willey,53,64,7,0,7,221,277,82.8125,7.520361990950226,64,181,245
DR Shorey,13,20,0,1,0,0,0,65.0,,15,0,15
M Prasidh Krishna,9,24,0,0,54,1231,1741,37.5,8.48578391551584,5,1354,1359
MM Ali,1162,849,95,67,40,770,900,136.86690223792698,7.012987012987012,1403,1006,2409
P Chopra,8,6,2,0,0,0,0,133.33333333333331,,10,0,10
JPR Scantlebury-Searles,8,6,0,1,2,45,89,133.33333333333331,11.866666666666667,10,44,54
Abhishek Sharma,1377,925,128,73,11,278,396,148.86486486486484,8.546762589928058,1665,279,1944
S Lamichhane,0,1,0,0,14,211,297,0.0,8.445497630331754,-3,354,351
CJ Dala,0,0,0,0,0,19,34,,10.736842105263158,0,0,0
SP Goswami,293,307,32,3,0,0,0,95.43973941368078,,339,0,339
KK Ahmed,1,7,0,0,78,1345,1918,14.285714285714285,8.556133828996282,1,1954,1955
SO Hetmyer,1243,854,76,82,0,0,0,145.5503512880562,,1497,0,1497
S Dube,1502,1077,86,101,6,117,190,139.46146703806872,9.743589743589745,1802,152,1954
Navdeep Saini,33,38,3,0,26,682,968,86.8421052631579,8.516129032258064,36,654,690
JM Bairstow,1589,1132,166,69,0,0,0,140.37102473498234,,1907,0,1907
Rasikh Salam,40,40,5,0,9,207,341,100.0,9.884057971014492,47,227,274
CA Ingram,205,183,22,5,0,0,0,112.02185792349728,,247,0,247
KMA Paul,18,26,1,1,10,180,239,69.23076923076923,7.966666666666667,21,256,277
N Pooran,1769,1143,113,127,0,0,0,154.7681539807524,,2150,0,2150
SM Curran,883,673,74,37,62,1234,1924,131.2035661218425,9.354943273905995,1043,1552,2595
CV Varun,25,49,2,0,85,1624,2042,51.02040816326531,7.544334975369457,27,2131,2158
GC Viljoen,3,7,0,0,8,146,229,42.85714285714285,9.41095890410959,3,202,205
NS Naik,31,53,2,0,0,0,0,58.490566037735846,,33,0,33
GH Vihari,284,331,23,1,1,43,48,85.80060422960725,6.697674418604651,317,25,342
P Ray Barman,19,25,2,0,0,24,56,76.0,14.0,21,0,21
MJ Santner,70,77,4,3,16,370,428,90.9090909090909,6.940540540540541,84,408,492
JP Behrendorff,6,9,0,0,22,379,563,66.66666666666666,8.91292875989446,6,554,560
SC Kuggeleijn,0,0,0,0,2,50,71,,8.52,0,46,46
AS Joseph,27,32,3,0,22,454,707,84.375,9.343612334801762,30,552,582
HF Gurney,1,5,0,0,7,169,239,20.0,8.485207100591715,1,179,180
S Midhun,0,0,0,0,0,13,29,,13.384615384615383,0,0,0
SD Lad,15,13,1,1,0,0,0,115.38461538461536,,18,0,18
R Parag,1173,909,84,60,5,181,307,129.04290429042905,10.176795580110497,1389,127,1516
JL Denly,0,1,0,0,0,0,0,0.0,,-3,0,-3
LS Livingstone,939,609,66,66,11,267,395,154.1871921182266,8.876404494382022,1151,279,1430
Arshdeep Singh,29,42,4,0,84,1453,2097,69.04761904761905,8.659325533379215,33,2104,2137
AJ Turner,24,31,0,2,0,0,0,77.41935483870968,,28,0,28
DW Steyn,167,163,14,3,105,2282,2583,102.45398773006136,6.791411042944786,197,2633,2830
SE Rutherford,106,107,3,8,1,46,60,99.06542056074768,7.826086956521739,133,23,156
Harpreet Brar,233,201,19,9,25,692,907,115.92039800995023,7.864161849710983,280,631,911
Y Prithvi Raj,0,1,0,0,1,33,57,0.0,10.363636363636363,-3,19,16
O Thomas,0,0,0,0,5,63,85,,8.095238095238095,0,129,129
AS Roy,26,24,3,0,6,142,191,108.33333333333331,8.070422535211268,31,154,185
Gurkeerat Singh,511,436,55,11,5,82,97,117.20183486238533,7.097560975609756,598,131,729
S Sandeep Warrier,0,0,0,0,8,176,257,,8.761363636363637,0,204,204
P Simran Singh,756,528,78,41,0,0,0,143.1818181818182,,930,0,930
