player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate
DJM Short,115,102,11,5,1,18,23,112.74509803921569,7.666666666666667
K Gowtham,247,159,15,17,22,599,825,155.34591194968556,8.263772954924875
S Gopal,180,173,19,2,53,1000,1358,104.04624277456647,8.148
B Laughlin,5,13,0,0,10,179,284,38.46153846153847,9.5195530726257
TK Curran,127,108,10,3,13,252,432,117.59259259259258,10.285714285714286
A Dananjaya,4,5,0,0,0,25,47,80.0,11.28
Shubman Gill,3216,2432,310,95,0,0,0,132.23684210526315,
Shivam Mavi,51,58,4,2,33,687,958,87.93103448275862,8.366812227074236
M Vijay,2619,2208,247,91,0,37,49,118.61413043478262,7.945945945945946
H Klaasen,993,613,56,64,0,0,0,161.99021207177816,
RK Bhui,10,27,0,0,0,0,0,37.03703703703704,
JC Archer,199,132,11,14,49,987,1210,150.75757575757575,7.355623100303951
LE Plunkett,1,3,0,0,4,154,228,33.33333333333333,8.883116883116882
PP Shaw,1892,1321,238,61,0,0,0,143.22482967448903,
AD Hales,148,119,13,6,0,0,0,124.36974789915966,
IS Sodhi,7,18,0,0,9,182,204,38.88888888888889,6.725274725274725
MK Lomror,527,389,33,30,2,94,127,135.47557840616966,8.106382978723405
M Ashwin,35,50,2,1,35,898,1182,70.0,7.8975501113585755
L Ngidi,0,0,0,0,28,342,460,,8.070175438596491
KM Asif,0,2,0,0,7,143,232,0.0,9.734265734265735
JP Duminy,2029,1680,126,79,23,701,847,120.77380952380952,7.249643366619116
DJ Willey,53,64,7,0,7,221,277,82.8125,7.520361990950226
DR Shorey,13,20,0,1,0,0,0,65.0,
M Prasidh Krishna,9,24,0,0,54,1231,1741,37.5,8.48578391551584
MM Ali,1162,849,95,67,40,770,900,136.86690223792698,7.012987012987012
P Chopra,8,6,2,0,0,0,0,133.33333333333331,
JPR Scantlebury-Searles,8,6,0,1,2,45,89,133.33333333333331,11.866666666666667
Abhishek Sharma,1377,925,128,73,11,278,396,148.86486486486484,8.546762589928058
S Lamichhane,0,1,0,0,14,211,297,0.0,8.445497630331754
CJ Dala,0,0,0,0,0,19,34,,10.736842105263158
SP Goswami,293,307,32,3,0,0,0,95.43973941368078,
KK Ahmed,1,7,0,0,78,1345,1918,14.285714285714285,8.556133828996282
SO Hetmyer,1243,854,76,82,0,0,0,145.5503512880562,
S Dube,1502,1077,86,101,6,117,190,139.46146703806872,9.743589743589743
Navdeep Saini,33,38,3,0,26,682,968,86.8421052631579,8.516129032258064
JM Bairstow,1589,1132,166,69,0,0,0,140.37102473498234,
Rasikh Salam,40,40,5,0,9,207,341,100.0,9.884057971014492
CA Ingram,205,183,22,5,0,0,0,112.02185792349727,
KMA Paul,18,26,1,1,10,180,239,69.23076923076923,7.966666666666667
N Pooran,1769,1143,113,127,0,0,0,154.7681539807524,
SM Curran,883,673,74,37,62,1234,1924,131.2035661218425,9.354943273905997
CV Varun,25,49,2,0,85,1624,2042,51.02040816326531,7.544334975369457
GC Viljoen,3,7,0,0,8,146,229,42.857142857142854,9.41095890410959
NS Naik,31,53,2,0,0,0,0,58.490566037735846,
GH Vihari,284,331,23,1,1,43,48,85.80060422960725,6.697674418604651
P Ray Barman,19,25,2,0,0,24,56,76.0,14.0
MJ Santner,70,77,4,3,16,370,428,90.9090909090909,6.940540540540541
JP Behrendorff,6,9,0,0,22,379,563,66.66666666666666,8.91292875989446
SC Kuggeleijn,0,0,0,0,2,50,71,,8.52
AS Joseph,27,32,3,0,22,454,707,84.375,9.343612334801762
HF Gurney,1,5,0,0,7,169,239,20.0,8.485207100591715
S Midhun,0,0,0,0,0,13,29,,13.384615384615385
SD Lad,15,13,1,1,0,0,0,115.38461538461537,
R Parag,1173,909,84,60,5,181,307,129.04290429042905,10.176795580110497
JL Denly,0,1,0,0,0,0,0,0.0,
LS Livingstone,939,609,66,66,11,267,395,154.1871921182266,8.876404494382022
Arshdeep Singh,29,42,4,0,84,1453,2097,69.04761904761905,8.659325533379215
AJ Turner,24,31,0,2,0,0,0,77.41935483870968,
DW Steyn,167,163,14,3,105,2282,2583,102.45398773006136,6.791411042944786
SE Rutherford,106,107,3,8,1,46,60,99.06542056074767,7.826086956521739
Harpreet Brar,233,201,19,9,25,692,907,115.92039800995025,7.864161849710983
Y Prithvi Raj,0,1,0,0,1,33,57,0.0,10.363636363636363
O Thomas,0,0,0,0,5,63,85,,8.095238095238095
AS Roy,26,24,3,0,6,142,191,108.33333333333333,8.070422535211268
Gurkeerat Singh,511,436,55,11,5,82,97,117.20183486238531,7.097560975609756
S Sandeep Warrier,0,0,0,0,8,176,257,,8.761363636363637
P Simran Singh,756,528,78,41,0,0,0,143.1818181818182,
J Suchith,70,62,6,3,20,434,604,112.90322580645163,8.350230414746544
JL Pattinson,15,13,2,0,11,222,321,115.38461538461537,8.675675675675675
SS Cottrell,0,2,0,0,6,131,177,0.0,8.106870229007635
Ravi Bishnoi,32,52,2,0,68,1460,1861,61.53846153846154,7.647945205479452
A Nortje,49,51,6,0,62,1097,1614,96.07843137254902,8.82771194165907
T Banton,18,22,1,1,0,0,0,81.81818181818183,
I Udana,15,11,1,1,8,182,286,136.36363636363635,9.428571428571429
D Padikkal,1559,1323,170,42,0,0,0,117.83824640967498,
JO Holder,259,217,13,18,59,1049,1489,119.35483870967742,8.516682554814109
YBK Jaiswal,1607,1095,199,64,0,1,6,146.7579908675799,36.0
RD Gaikwad,2380,1781,217,91,0,0,0,133.63279056709715,
TU Deshpande,21,15,2,1,46,831,1275,140.0,9.205776173285198
KL Nagarkoti,22,34,1,0,5,185,287,64.70588235294117,9.308108108108108
Abdul Samad,579,408,37,36,2,55,113,141.91176470588235,12.327272727272728
PK Garg,273,247,16,9,0,0,0,110.5263157894737,
JR Philippe,78,80,9,1,0,0,0,97.5,
Kartik Tyagi,13,16,1,0,16,458,720,81.25,9.43231441048035
JDS Neesham,92,93,6,2,8,222,342,98.9247311827957,9.243243243243244
DR Sams,44,48,1,3,15,389,528,91.66666666666666,8.143958868894602
Shahbaz Ahmed,536,467,28,25,21,549,850,114.77516059957173,9.289617486338798
AT Carey,32,29,0,1,0,0,0,110.34482758620689,
N Jagadeesan,162,155,21,2,0,0,0,104.51612903225806,
JR Hazlewood,19,29,1,0,36,622,830,65.51724137931035,8.006430868167202
